# the 68000/ST exception vectors, $000-$3FF
# address  vector  name                          value
  $000       0     reset SSP                     $602e0102
  $004       1     reset PC                      $00fc0030
  $008       2     bus error                     $02fc0b50
  $00C       3     address error                 $03fc0b50
  $010       4     illegal instruction           $04fc0b50
  $014       5     divide by zero                $00fc07ce
  $018       6     CHK                           $06fc0b50
  $01C       7     TRAPV                         $07fc0b50
  $020       8     privilege violation           $08fc0b50
  $024       9     trace                         $09fc0b50
  $028      10     line-A emulator               $00fc9f0c
  $02C      11     line-F emulator               $0000cc0e
  $030      12     -                             $0cfc0b50
  $034      13     -                             $0dfc0b50
  $038      14     -                             $0efc0b50
  $03C      15     uninitialised interrupt       $0ffc0b50
  $040      16     -                             $10fc0b50
  $044      17     -                             $11fc0b50
  $048      18     -                             $12fc0b50
  $04C      19     -                             $13fc0b50
  $050      20     -                             $14fc0b50
  $054      21     -                             $15fc0b50
  $058      22     -                             $16fc0b50
  $05C      23     -                             $17fc0b50
  $060      24     spurious interrupt            $18fc0b50
  $064      25     autovector 1                  $00fc07ce
  $068      26     autovector 2 (HBL)            $00fc06c8
  $06C      27     autovector 3                  $00fc07ce
  $070      28     autovector 4 (VBL)            $00fc06de
  $074      29     autovector 5                  $00fc07ce
  $078      30     autovector 6 (MFP)            $00fc07ce
  $07C      31     autovector 7                  $00fc07ce
  $080      32     trap #0                       $20fc0b50
  $084      33     trap #1 (GEMDOS)              $00fc4f6e
  $088      34     trap #2 (GEM)                 $00fe3ea6
  $08C      35     trap #3                       $23fc0b50
  $090      36     trap #4                       $24fc0b50
  $094      37     trap #5                       $25fc0b50
  $098      38     trap #6                       $26fc0b50
  $09C      39     trap #7                       $27fc0b50
  $0A0      40     trap #8                       $28fc0b50
  $0A4      41     trap #9                       $29fc0b50
  $0A8      42     trap #10                      $2afc0b50
  $0AC      43     trap #11                      $2bfc0b50
  $0B0      44     trap #12                      $2cfc0b50
  $0B4      45     trap #13 (BIOS)               $00fc07f8
  $0B8      46     trap #14 (XBIOS)              $00fc07f2
  $0BC      47     trap #15                      $2ffc0b50
  $0C0      48     -                             $30fc0b50
  $0C4      49     -                             $31fc0b50
  $0C8      50     -                             $32fc0b50
  $0CC      51     -                             $33fc0b50
  $0D0      52     -                             $34fc0b50
  $0D4      53     -                             $35fc0b50
  $0D8      54     -                             $36fc0b50
  $0DC      55     -                             $37fc0b50
  $0E0      56     -                             $38fc0b50
  $0E4      57     -                             $39fc0b50
  $0E8      58     -                             $3afc0b50
  $0EC      59     -                             $3bfc0b50
  $0F0      60     -                             $3cfc0b50
  $0F4      61     -                             $3dfc0b50
  $0F8      62     -                             $3efc0b50
  $0FC      63     -                             $3ffc0b50
  $100      64     MFP centronics busy           $40b03b04
  $104      65     MFP RS232 DCD                 $35582fac
  $108      66     MFP RS232 CTS                 $00fc27ae
